 written on 21Apr2026 at 00:37:40 
  -2.7155000985058271        0.0000000000000000        2.7155000985058271     
   0.0000000000000000        2.7155000985058271        2.7155000985058271     
  -2.7155000985058271        2.7155000985058271        0.0000000000000000     
           8
         617
    4    3    2    2    2    1    2    2    1    1    2    3    2    2    2
    3    6    2    2    2    1    2    2    1    1    2    2    1    1    1
    2    2    1    1    1    1    2    2    1    1    1    1    1    2    2
    1    1    1    1    1    1    2    6    2    2    2    2    2    2    2
    6    2    2    3    1    1    1    3    2    1    1    1    1    2    2
    1    1    1    1    1    2    2    1    1    1    1    1    1    2    3
    1    1    1    1    1    1    1    3    1    1    1    1    1    1    1
    1    2    1    1    1    1    1    1    1    2    2    1    1    1    1
    1    1    2    3    2    2    2    3    2    1    2    2    1    1    1
    1    2    4    1    1    1    1    1    1    1    4    1    1    1    1
    1    1    1    1    2    1    1    1    1    1    1    1    2    1    1
    1    1    1    1    1    1    2    1    1    1    1    1    1    1    2
    1    1    1    1    1    1    1    1    2    1    1    1    1    1    2
    2    1    1    2    4    3    2    1    1    2    2    1    1    1    1
    1    2    1    1    1    1    1    1    1    1    2    1    1    1    1
    1    1    1    2    1    1    1    1    1    1    1    1    2    1    1
    1    1    1    1    1    2    1    1    1    1    1    1    1    1    3
    1    1    1    1    1    1    1    3    2    1    1    1    1    2    2
    1    2    2    2    2    1    1    1    2    2    1    1    1    1    1
    1    2    2    1    1    1    1    1    1    1    2    1    1    1    1
    1    1    1    1    2    1    1    1    1    1    1    1    2    1    1
    1    1    1    1    1    1    2    1    1    1    1    1    1    1    2
    2    1    1    1    1    1    1    2    2    1    1    1    2    2    2
    2    1    2    2    1    1    1    1    2    3    1    1    1    1    1
    1    1    3    1    1    1    1    1    1    1    1    2    1    1    1
    1    1    1    1    2    1    1    1    1    1    1    1    1    2    1
    1    1    1    1    1    1    2    1    1    1    1    1    1    1    1
    2    1    1    1    1    1    2    2    1    1    2    3    4    2    1
    1    2    2    1    1    1    1    1    2    1    1    1    1    1    1
    1    1    2    1    1    1    1    1    1    1    2    1    1    1    1
    1    1    1    1    2    1    1    1    1    1    1    1    2    1    1
    1    1    1    1    1    1    4    1    1    1    1    1    1    1    4
    2    1    1    1    1    2    2    1    2    3    2    2    2    3    2
    1    1    1    1    1    1    2    2    1    1    1    1    1    1    1
    2    1    1    1    1    1    1    1    1    3    1    1    1    1    1
    1    1    3    2    1    1    1    1    1    1    2    2    1    1    1
    1    1    2    2    1    1    1    1    2    3    1    1    1    3    2
    2    6    2    2    2    2    2    2    2    6    2    1    1    1    1
    1    1    2    2    1    1    1    1    1    2    2    1    1    1    1
    2    2    1    1    1    2    2    1    1    2    2    1    2    2    2
    6    3    2    2    2    3    2    1    1    2    2    1    2    2    2
    3    4

   -6    2    2
    8    1   -0.44212455E-03 -0.14648890E-04 
    1    2   -0.17403399E-03  0.10240697E-05 
    2    2   -0.84233983E-04  0.74260604E-05 
    3    2    0.12105167E-03  0.43752747E-05 
    4    2    0.13645173E-03 -0.13094217E-04 
    5    2    0.33838306E-03 -0.19039696E-05 
    6    2   -0.38809651E-04  0.70374290E-05 
    7    2   -0.23108328E-03 -0.59474101E-05 
    8    2   -0.23651980E-03  0.35905280E-05 
    1    3   -0.18463912E-03 -0.33006126E-05 
    2    3    0.13040483E-03  0.42743761E-05 
    3    3   -0.79904671E-04 -0.77486400E-05 
    4    3    0.12594745E-03 -0.65128274E-06 
    5    3   -0.92076944E-04 -0.44368673E-05 
    6    3    0.17494426E-04  0.88266017E-05 
    7    3   -0.43504482E-04 -0.58985717E-05 
    8    3    0.41753487E-03  0.59802371E-05 
    1    4   -0.17933140E-03  0.25328392E-05 
    2    4    0.12241525E-03 -0.11610139E-04 
    3    4    0.12795896E-03  0.18326567E-05 
    4    4   -0.81798020E-04  0.10889062E-04 
    5    4   -0.93052236E-04  0.11721521E-05 
    6    4    0.11619979E-04 -0.10465688E-04 
    7    4    0.42780936E-03  0.60333085E-05 
    8    4   -0.38815341E-04 -0.48142163E-05 
    1    5   -0.32771941E-03 -0.34789814E-05 
    2    5    0.12606654E-03  0.32805718E-05 
    3    5    0.23978110E-04 -0.80482416E-05 
    4    5    0.28025499E-04  0.73037087E-05 
    5    5    0.27896113E-03 -0.26484863E-06 
    6    5    0.39217952E-04  0.41908619E-05 
    7    5    0.47877514E-04 -0.13119074E-05 
    8    5    0.41756467E-04 -0.73327391E-05 
    1    6    0.27263785E-03  0.42150848E-05 
    2    6   -0.28365421E-03  0.42836898E-05 
    3    6    0.66139784E-04  0.89163445E-05 
    4    6    0.82548633E-04 -0.16504445E-04 
    5    6   -0.13904215E-04 -0.26514848E-05 
    6    6   -0.20401102E-03  0.96825721E-06 
    7    6   -0.55658635E-05 -0.84030574E-05 
    8    6   -0.20701594E-04  0.12553171E-04 
    1    7    0.31121263E-03  0.16879885E-04 
    2    7    0.19957533E-03 -0.10268502E-04 
    3    7   -0.33068419E-04 -0.11952573E-04 
    4    7   -0.48889528E-04  0.40976030E-05 
    5    7   -0.25216014E-04  0.48475349E-05 
    6    7   -0.10459147E-04 -0.90564111E-05 
    7    7   -0.20226996E-03  0.12726135E-04 
    8    7    0.76047556E-06 -0.10698131E-04 
    1    8    0.28847955E-03 -0.19247268E-04 
    2    8    0.21613617E-03  0.11087233E-04 
    3    8   -0.33430587E-04  0.10894135E-04 
    4    8   -0.32552314E-04 -0.37221053E-06 
    5    8   -0.13781352E-04 -0.42409781E-05 
    6    8   -0.14609742E-05  0.10527957E-04 
    7    8   -0.23769138E-04 -0.22673546E-05 
    8    8   -0.20501829E-03  0.10248793E-05 

   -5    0    2
    1    1   -0.16227351E-03 -0.94395088E-05 
    2    1    0.19641095E-03 -0.72906246E-05 
    3    1   -0.10812169E-03 -0.99779132E-05 
    4    1    0.18401955E-03  0.13887835E-04 
    5    1   -0.11726393E-03 -0.21144579E-05 
    6    1    0.54651772E-04  0.14408570E-04 
    7    1   -0.25415922E-03 -0.95330012E-06 
    8    1    0.28743885E-03 -0.13561707E-04 
    1    2    0.81710077E-04 -0.37774194E-05 
    2    2   -0.36233094E-03  0.30451485E-05 
    3    2   -0.13977131E-03  0.11424577E-04 
    4    2    0.39496243E-03 -0.17284192E-04 
    5    2   -0.64679720E-05 -0.85949607E-05 
    6    2   -0.49269382E-03  0.66970445E-05 
    7    2    0.41302920E-05  0.48192912E-05 
    8    2    0.32867697E-03  0.74872261E-05 
    1    3    0.92815289E-04  0.75677170E-05 
    2    3   -0.76311891E-04  0.21487888E-05 
    3    3   -0.13900225E-03 -0.20563638E-05 
    4    3   -0.70259146E-04 -0.41060639E-05 
    5    3   -0.83859801E-04  0.29341279E-05 
    6    3    0.15695070E-03 -0.67861761E-05 
    7    3   -0.19302706E-04  0.21544657E-05 
    8    3    0.12997634E-03  0.65433875E-05 
    1    4    0.62632114E-04  0.16961993E-05 
    2    4    0.39788704E-03  0.25514685E-05 
    3    4   -0.12643491E-03 -0.85285206E-05 
    4    4   -0.36731923E-03  0.86367337E-05 
    5    4    0.24948477E-03  0.47967837E-05 
    6    4    0.45845473E-03 -0.10997982E-05 
    7    4    0.76213298E-04 -0.34212086E-05 
    8    4   -0.72775380E-03 -0.13477885E-04 
    1    5    0.39088574E-03 -0.44056084E-05 
    2    5   -0.24850632E-03  0.32281110E-04 
    3    5   -0.24234926E-03 -0.20304988E-05 
    4    5   -0.13844664E-03 -0.20616344E-04 
    5    5   -0.27431011E-03  0.33042460E-05 
    6    5    0.37747995E-04  0.22679176E-04 
    7    5    0.11884727E-03 -0.38681864E-05 
    8    5    0.28685917E-04 -0.13945184E-04 
    1    6   -0.76583114E-05 -0.50386693E-05 
    2    6    0.13630894E-03  0.86808698E-05 
    3    6    0.40144148E-03  0.20231479E-04 
    4    6   -0.25837616E-03 -0.18570429E-04 
    5    6    0.31514950E-04 -0.65818843E-05 
    6    6   -0.45534352E-03  0.27530450E-05 
    7    6   -0.55452766E-04 -0.18587439E-05 
    8    6    0.27911058E-03  0.11072646E-04 
    1    7   -0.23980390E-04  0.20039325E-06 
    2    7    0.41972845E-03 -0.17413105E-04 
    3    7    0.14419416E-03 -0.44613243E-06 
    4    7   -0.26660812E-03  0.21808370E-04 
    5    7    0.15147823E-04  0.23950381E-06 
    6    7    0.13394245E-03 -0.14010182E-04 
    7    7    0.13241792E-03  0.39440591E-05 
    8    7    0.12206051E-03  0.48668695E-05 
    1    8   -0.24021624E-03  0.85754492E-05 
    2    8   -0.61167098E-03 -0.67937285E-05 
    3    8   -0.60848834E-03 -0.18311823E-04 
    4    8    0.99364773E-03  0.61794204E-05 
    5    8    0.40550296E-04  0.49697442E-05 
    6    8    0.27612874E-03 -0.47001648E-05 
    7    8   -0.87327639E-04  0.39059303E-05 
    8    8   -0.43591528E-03  0.10080574E-05 

   -5    0    3
    1    1   -0.16935399E-03 -0.15780388E-05 
    2    1   -0.14385572E-03  0.57243207E-05 
    3    1    0.20712428E-03 -0.60020113E-05 
    4    1    0.20798062E-03 -0.24592310E-05 
    5    1    0.23242209E-03  0.61744795E-06 
    6    1   -0.16338507E-03  0.49117605E-05 
    7    1   -0.14317703E-03  0.30266702E-05 
    8    1   -0.14476582E-03 -0.14840797E-04 
    1    2    0.83843705E-04  0.60489572E-05 
    2    2   -0.11291510E-03 -0.94517908E-05 
    3    2   -0.86460717E-04  0.39477329E-05 
    4    2   -0.82978571E-04 -0.49107933E-05 
    5    2   -0.12487451E-03 -0.16479793E-05 
    6    2    0.23397713E-03 -0.57425887E-05 
    7    2   -0.12504342E-03  0.11522099E-04 
    8    2   -0.12511212E-03  0.11774431E-05 
    1    3    0.67833251E-04  0.77692923E-06 
    2    3   -0.12652073E-03 -0.84370334E-05 
    3    3   -0.34941102E-03  0.10500495E-04 
    4    3    0.38842802E-03  0.51359907E-06 
    5    3   -0.12656453E-03  0.59991420E-06 
    6    3   -0.11826022E-03 -0.10272896E-04 
    7    3    0.21135966E-03 -0.40536475E-06 
    8    3   -0.11806103E-03  0.83108662E-05 
    1    4    0.97751739E-04 -0.14804164E-05 
    2    4   -0.14052137E-03  0.15740245E-04 
    3    4    0.38396041E-03 -0.25213364E-05 
    4    4   -0.36340709E-03 -0.76857541E-05 
    5    4   -0.12130266E-03  0.87819098E-06 
    6    4   -0.13113486E-03  0.11028377E-04 
    7    4   -0.11092364E-03 -0.11293749E-04 
    8    4    0.22112954E-03  0.22367453E-05 
    1    5   -0.19272621E-03  0.77896392E-05 
    2    5    0.24186400E-03  0.41668153E-06 
    3    5    0.10498361E-03  0.49866058E-05 
    4    5    0.95701312E-04 -0.12061015E-04 
    5    5   -0.28802721E-03 -0.33666124E-05 
    6    5    0.12104203E-03 -0.12567821E-06 
    7    5    0.41958645E-04 -0.49484684E-05 
    8    5    0.35934132E-04  0.14328107E-04 
    1    6    0.14236843E-03  0.34703733E-05 
    2    6    0.49796919E-03 -0.11401681E-04 
    3    6   -0.30061663E-03  0.39244024E-05 
    4    6   -0.28993693E-03  0.17724003E-05 
    5    6    0.25910775E-04  0.85389182E-06 
    6    6    0.15969321E-03 -0.77772112E-05 
    7    6    0.11633539E-03  0.93851138E-05 
    8    6    0.11731462E-03  0.32856478E-05 
    1    7   -0.83069926E-04 -0.26264650E-04 
    2    7   -0.40414071E-03  0.96065723E-05 
    3    7   -0.58267155E-03  0.62576708E-05 
    4    7    0.90334160E-03  0.12008404E-04 
    5    7    0.47464014E-04  0.17890303E-04 
    6    7   -0.89630413E-04  0.82251333E-05 
    7    7   -0.45505903E-03 -0.63441026E-05 
    8    7    0.29050187E-03 -0.91095800E-05 
    1    8   -0.93855515E-04  0.27026740E-04 
    2    8   -0.41432261E-03 -0.10716346E-04 
    3    8    0.90905379E-03 -0.12051824E-04 
    4    8   -0.57524657E-03 -0.69289071E-05 
    5    8    0.19833115E-04 -0.16917360E-04 
    6    8   -0.88535953E-04 -0.10954890E-04 
    7    8    0.29603518E-03 -0.29927007E-05 
    8    8   -0.45322568E-03  0.66215972E-05 

   -5    1    1
    1    1   -0.19418523E-03 -0.37091530E-05 
    2    1    0.49927058E-05 -0.28290591E-05 
    3    1   -0.27644383E-03 -0.80706739E-05 
    4    1   -0.77725167E-05  0.31837496E-05 
    5    1    0.47566001E-04 -0.65937791E-05 
    6    1    0.17028321E-03  0.11846012E-04 
    7    1    0.35638265E-03 -0.54208450E-05 
    8    1   -0.33034503E-03 -0.11416083E-04 
    1    2    0.23766127E-03 -0.92059701E-05 
    2    2   -0.89998039E-05  0.80374476E-05 
    3    2    0.21250787E-03 -0.44859926E-05 
    4    2   -0.23034865E-03  0.44112021E-05 
