  0.00000000E+00 -0.34057387E+01
  0.10019145E-01 -0.34071836E+01
  0.20038291E-01 -0.34115197E+01
  0.30057436E-01 -0.34187045E+01
  0.40076582E-01 -0.34286693E+01
  0.50095727E-01 -0.34413212E+01
  0.60114873E-01 -0.34565465E+01
  0.70134018E-01 -0.34742150E+01
  0.80153164E-01 -0.34941830E+01
  0.90172309E-01 -0.35162981E+01
  0.10019145E+00 -0.35404024E+01
  0.11021060E+00 -0.35663357E+01
  0.12022975E+00 -0.35939389E+01
  0.13024889E+00 -0.36230557E+01
  0.14026804E+00 -0.36535350E+01
  0.15028718E+00 -0.36852320E+01
  0.16030633E+00 -0.37180091E+01
  0.17032547E+00 -0.37517369E+01
  0.18034462E+00 -0.37862942E+01
  0.19036376E+00 -0.38215683E+01
  0.20038291E+00 -0.38574548E+01
  0.21040205E+00 -0.38938575E+01
  0.22042120E+00 -0.39306879E+01
  0.23044035E+00 -0.39678652E+01
  0.24045949E+00 -0.40053152E+01
  0.25047864E+00 -0.40429705E+01
  0.26049778E+00 -0.40807697E+01
  0.27051693E+00 -0.41186569E+01
  0.28053607E+00 -0.41565812E+01
  0.29055522E+00 -0.41944966E+01
  0.30057436E+00 -0.42323609E+01
  0.31059351E+00 -0.42701359E+01
  0.32061265E+00 -0.43077867E+01
  0.33063180E+00 -0.43452810E+01
  0.34065095E+00 -0.43825896E+01
  0.35067009E+00 -0.44196850E+01
  0.36068924E+00 -0.44565420E+01
  0.37070838E+00 -0.44931369E+01
  0.38072753E+00 -0.45294473E+01
  0.39074667E+00 -0.45654520E+01
  0.40076582E+00 -0.46011309E+01
  0.41078496E+00 -0.46364644E+01
  0.42080411E+00 -0.46714339E+01
  0.43082325E+00 -0.47060211E+01
  0.44084240E+00 -0.47402083E+01
  0.45086155E+00 -0.47739781E+01
  0.46088069E+00 -0.48073135E+01
  0.47089984E+00 -0.48401979E+01
  0.48091898E+00 -0.48726152E+01
  0.49093813E+00 -0.49045497E+01
  0.50095727E+00 -0.49359858E+01
  0.51097642E+00 -0.49669090E+01
  0.52099556E+00 -0.49973049E+01
  0.53101471E+00 -0.50271600E+01
  0.54103385E+00 -0.50564615E+01
  0.55105300E+00 -0.50851975E+01
  0.56107215E+00 -0.51133568E+01
  0.57109129E+00 -0.51409292E+01
  0.58111044E+00 -0.51679054E+01
  0.59112958E+00 -0.51942774E+01
  0.60114873E+00 -0.52200380E+01
  0.61116787E+00 -0.52451811E+01
  0.62118702E+00 -0.52697016E+01
  0.63120616E+00 -0.52935956E+01
  0.64122531E+00 -0.53168601E+01
  0.65124445E+00 -0.53394930E+01
  0.66126360E+00 -0.53614930E+01
  0.67128275E+00 -0.53828598E+01
  0.68130189E+00 -0.54035936E+01
  0.69132104E+00 -0.54236951E+01
  0.70134018E+00 -0.54431657E+01
  0.71135933E+00 -0.54620069E+01
  0.72137847E+00 -0.54802207E+01
  0.73139762E+00 -0.54978091E+01
  0.74141676E+00 -0.55147738E+01
  0.75143591E+00 -0.55311169E+01
  0.76145505E+00 -0.55468398E+01
  0.77147420E+00 -0.55619440E+01
  0.78149335E+00 -0.55764303E+01
  0.79151249E+00 -0.55902992E+01
  0.80153164E+00 -0.56035507E+01
  0.81155078E+00 -0.56161843E+01
  0.82156993E+00 -0.56281988E+01
  0.83158907E+00 -0.56395927E+01
  0.84160822E+00 -0.56503636E+01
  0.85162736E+00 -0.56605091E+01
  0.86164651E+00 -0.56700259E+01
  0.87166565E+00 -0.56789105E+01
  0.88168480E+00 -0.56871592E+01
  0.89170395E+00 -0.56947680E+01
  0.90172309E+00 -0.57017325E+01
  0.91174224E+00 -0.57080487E+01
  0.92176138E+00 -0.57137122E+01
  0.93178053E+00 -0.57187191E+01
