  0.00000000E+00  0.12113261E+02
  0.19037071E-01  0.12089212E+02
  0.38074143E-01  0.12073724E+02
  0.57111214E-01  0.12066902E+02
  0.76148286E-01  0.12068691E+02
  0.95185357E-01  0.12078878E+02
  0.11422243E+00  0.12097134E+02
  0.13325950E+00  0.12123047E+02
  0.15229657E+00  0.12156172E+02
  0.17133364E+00  0.12196065E+02
  0.19037071E+00  0.12242305E+02
  0.20940779E+00  0.12294493E+02
  0.22844486E+00  0.12352231E+02
  0.24748193E+00  0.12415086E+02
  0.26651900E+00  0.12482552E+02
  0.28555607E+00  0.12554012E+02
  0.30459314E+00  0.12628720E+02
  0.32363021E+00  0.12705813E+02
  0.34266728E+00  0.12784340E+02
  0.36170436E+00  0.12863338E+02
  0.38074143E+00  0.12941916E+02
  0.39977850E+00  0.13019364E+02
  0.41881557E+00  0.13095245E+02
  0.43785264E+00  0.13169477E+02
  0.45688971E+00  0.13242366E+02
  0.47592678E+00  0.13314598E+02
  0.49496386E+00  0.13387175E+02
  0.51400093E+00  0.13461309E+02
  0.53303800E+00  0.13538288E+02
  0.55207507E+00  0.13619324E+02
  0.57111214E+00  0.13705418E+02
  0.59014921E+00  0.13797248E+02
  0.60918628E+00  0.13895087E+02
  0.62822336E+00  0.13998771E+02
  0.64726043E+00  0.14107704E+02
  0.66629750E+00  0.14220897E+02
  0.68533457E+00  0.14337040E+02
  0.70437164E+00  0.14454595E+02
  0.72340871E+00  0.14571890E+02
  0.74244578E+00  0.14687231E+02
  0.76148286E+00  0.14798993E+02
  0.78051993E+00  0.14905713E+02
  0.79955700E+00  0.15006156E+02
  0.81859407E+00  0.15099373E+02
  0.83763114E+00  0.15184727E+02
  0.85666821E+00  0.15261906E+02
  0.87570528E+00  0.15330906E+02
  0.89474235E+00  0.15392006E+02
  0.91377943E+00  0.15445728E+02
  0.93281650E+00  0.15492780E+02
  0.95185357E+00  0.15534006E+02
  0.97089064E+00  0.15570316E+02
  0.98992771E+00  0.15602621E+02
  0.10089648E+01  0.15631756E+02
  0.10280019E+01  0.15658408E+02
  0.10470389E+01  0.15683051E+02
  0.10660760E+01  0.15705886E+02
  0.10851131E+01  0.15726790E+02
  0.11041501E+01  0.15745273E+02
  0.11231872E+01  0.15760392E+02
  0.11422243E+01  0.15770540E+02
  0.11612614E+01  0.15772756E+02
  0.11802984E+01  0.15760667E+02
  0.11993355E+01  0.15722372E+02
  0.12183726E+01  0.15654747E+02
  0.12374096E+01  0.15573422E+02
  0.12564467E+01  0.15490544E+02
  0.12754838E+01  0.15411254E+02
  0.12945209E+01  0.15337778E+02
  0.13135579E+01  0.15271073E+02
  0.13325950E+01  0.15211321E+02
  0.13516321E+01  0.15158076E+02
  0.13706691E+01  0.15110284E+02
  0.13897062E+01  0.15066238E+02
  0.14087433E+01  0.15023485E+02
  0.14277804E+01  0.14978855E+02
  0.14468174E+01  0.14929054E+02
  0.14658545E+01  0.14872271E+02
  0.14848916E+01  0.14809557E+02
  0.15039286E+01  0.14744028E+02
  0.15229657E+01  0.14678982E+02
  0.15420028E+01  0.14616917E+02
  0.15610399E+01  0.14559426E+02
  0.15800769E+01  0.14507362E+02
  0.15991140E+01  0.14461008E+02
  0.16181511E+01  0.14420216E+02
  0.16371881E+01  0.14384532E+02
  0.16562252E+01  0.14353325E+02
  0.16752623E+01  0.14325921E+02
  0.16942994E+01  0.14301748E+02
  0.17133364E+01  0.14280470E+02
  0.17323735E+01  0.14262066E+02
  0.17514106E+01  0.14246834E+02
  0.17704476E+01  0.14235308E+02
  0.17894847E+01  0.14228106E+02
  0.18085218E+01  0.14225774E+02
  0.18275589E+01  0.14228658E+02
  0.18465959E+01  0.14236831E+02
  0.18656330E+01  0.14250068E+02
  0.18846701E+01  0.14267868E+02
  0.19037071E+01  0.14289496E+02
  0.19226572E+01  0.14272149E+02
  0.19416073E+01  0.14257551E+02
  0.19605574E+01  0.14246128E+02
  0.19795075E+01  0.14238290E+02
  0.19984576E+01  0.14234422E+02
  0.20174077E+01  0.14234864E+02
  0.20363578E+01  0.14239896E+02
  0.20553079E+01  0.14249734E+02
  0.20742580E+01  0.14264524E+02
  0.20932081E+01  0.14284339E+02
  0.21121582E+01  0.14309186E+02
  0.21311083E+01  0.14339016E+02
  0.21500584E+01  0.14373734E+02
  0.21690085E+01  0.14413211E+02
  0.21879586E+01  0.14457298E+02
  0.22069087E+01  0.14505830E+02
  0.22258588E+01  0.14558637E+02
  0.22448089E+01  0.14615543E+02
  0.22637590E+01  0.14676355E+02
  0.22827091E+01  0.14740862E+02
  0.23016592E+01  0.14808820E+02
  0.23206093E+01  0.14879932E+02
  0.23395594E+01  0.14953834E+02
  0.23585096E+01  0.15030039E+02
  0.23774597E+01  0.15107757E+02
  0.23964098E+01  0.15184512E+02
  0.24153599E+01  0.15246260E+02
  0.24343100E+01  0.15290859E+02
  0.24532601E+01  0.15334242E+02
  0.24722102E+01  0.15379494E+02
  0.24911603E+01  0.15427546E+02
  0.25101104E+01  0.15479039E+02
  0.25290605E+01  0.15534548E+02
  0.25480106E+01  0.15594608E+02
  0.25669607E+01  0.15659708E+02
  0.25859108E+01  0.15730253E+02
  0.26048609E+01  0.15806535E+02
  0.26238110E+01  0.15888691E+02
  0.26427611E+01  0.15976661E+02
  0.26617112E+01  0.16070160E+02
  0.26806613E+01  0.16168645E+02
  0.26996114E+01  0.16271290E+02
  0.27185615E+01  0.16376923E+02
  0.27375116E+01  0.16456611E+02
  0.27564617E+01  0.16507832E+02
  0.27754118E+01  0.16518125E+02
  0.27943619E+01  0.16438428E+02
  0.28133120E+01  0.16359649E+02
  0.28322621E+01  0.16285000E+02
  0.28512122E+01  0.16214956E+02
  0.28701623E+01  0.16149757E+02
  0.28891124E+01  0.16089596E+02
  0.29080625E+01  0.16034640E+02
  0.29270126E+01  0.15985039E+02
  0.29459627E+01  0.15940918E+02
  0.29649128E+01  0.15902380E+02
  0.29838629E+01  0.15869498E+02
  0.30028130E+01  0.15842317E+02
  0.30217631E+01  0.15820851E+02
  0.30407132E+01  0.15805086E+02
  0.30596633E+01  0.15794981E+02
  0.30786134E+01  0.15790468E+02
  0.30975635E+01  0.15791455E+02
  0.31165136E+01  0.15797814E+02
  0.31354637E+01  0.15809380E+02
  0.31544138E+01  0.15825933E+02
  0.31733639E+01  0.15847180E+02
  0.31923140E+01  0.15872740E+02
  0.32112641E+01  0.15902132E+02
  0.32302142E+01  0.15934795E+02
  0.32491643E+01  0.15970130E+02
  0.32681144E+01  0.16007607E+02
  0.32870645E+01  0.16046896E+02
  0.33060146E+01  0.16088015E+02
  0.33249647E+01  0.16131381E+02
  0.33439148E+01  0.16177735E+02
  0.33628649E+01  0.16227925E+02
  0.33818150E+01  0.16282660E+02
  0.34007651E+01  0.16342330E+02
  0.34197152E+01  0.16406925E+02
  0.34386653E+01  0.16476049E+02
  0.34576154E+01  0.16548979E+02
  0.34765655E+01  0.16624754E+02
  0.34955156E+01  0.16702261E+02
  0.35144657E+01  0.16780309E+02
  0.35334158E+01  0.16857698E+02
  0.35523659E+01  0.16933269E+02
  0.35714030E+01  0.16798496E+02
  0.35904400E+01  0.16675741E+02
  0.36094771E+01  0.16569321E+02
  0.36285142E+01  0.16481959E+02
  0.36475512E+01  0.16414793E+02
  0.36665883E+01  0.16367451E+02
  0.36856254E+01  0.16338212E+02
  0.37046625E+01  0.16324227E+02
  0.37236995E+01  0.16321796E+02
  0.37427366E+01  0.16326695E+02
  0.37617737E+01  0.16334507E+02
  0.37808107E+01  0.16340906E+02
  0.37998478E+01  0.16341834E+02
  0.38188849E+01  0.16333565E+02
  0.38379220E+01  0.16312856E+02
  0.38569590E+01  0.16277471E+02
  0.38759961E+01  0.16226837E+02
  0.38950332E+01  0.16161953E+02
  0.39140702E+01  0.16084621E+02
  0.39331073E+01  0.15996826E+02
  0.39521444E+01  0.15900500E+02
  0.39711815E+01  0.15797482E+02
  0.39902185E+01  0.15689549E+02
  0.40092556E+01  0.15578467E+02
  0.40282927E+01  0.15466047E+02
  0.40473297E+01  0.15354174E+02
  0.40663668E+01  0.15244783E+02
  0.40854039E+01  0.15139768E+02
  0.41044410E+01  0.15040844E+02
  0.41234780E+01  0.14949404E+02
  0.41425151E+01  0.14866394E+02
  0.41615522E+01  0.14792249E+02
  0.41805892E+01  0.14726891E+02
  0.41996263E+01  0.14669795E+02
  0.42186634E+01  0.14620100E+02
  0.42377005E+01  0.14576748E+02
  0.42567375E+01  0.14538625E+02
  0.42757746E+01  0.14504688E+02
  0.42948117E+01  0.14474054E+02
  0.43138487E+01  0.14446066E+02
  0.43328858E+01  0.14420306E+02
  0.43519229E+01  0.14396594E+02
  0.43709600E+01  0.14374953E+02
  0.43899970E+01  0.14355562E+02
  0.44090341E+01  0.14338694E+02
  0.44280712E+01  0.14324664E+02
  0.44471082E+01  0.14313767E+02
  0.44661453E+01  0.14306239E+02
  0.44851824E+01  0.14302226E+02
  0.45042195E+01  0.14301783E+02
  0.45231789E+01  0.14296500E+02
  0.45421384E+01  0.14297530E+02
  0.45610979E+01  0.14304650E+02
  0.45800574E+01  0.14317342E+02
  0.45990169E+01  0.14334809E+02
  0.46179764E+01  0.14356008E+02
  0.46369359E+01  0.14379689E+02
  0.46558954E+01  0.14404444E+02
  0.46748549E+01  0.14428771E+02
  0.46938144E+01  0.14451143E+02
  0.47127739E+01  0.14470099E+02
  0.47317334E+01  0.14484339E+02
  0.47506929E+01  0.14492825E+02
  0.47696524E+01  0.14494871E+02
  0.47886119E+01  0.14490219E+02
  0.48075714E+01  0.14479069E+02
  0.48265309E+01  0.14462068E+02
  0.48454904E+01  0.14440256E+02
  0.48644499E+01  0.14414960E+02
  0.48834094E+01  0.14387665E+02
  0.49023689E+01  0.14359871E+02
  0.49213284E+01  0.14332950E+02
  0.49402879E+01  0.14308024E+02
  0.49592474E+01  0.14285874E+02
  0.49782069E+01  0.14266874E+02
  0.49971664E+01  0.14250969E+02
  0.50161258E+01  0.14237677E+02
  0.50350853E+01  0.14226126E+02
  0.50540448E+01  0.14215108E+02
  0.50730043E+01  0.14203156E+02
  0.50919638E+01  0.14188627E+02
  0.51109233E+01  0.14169806E+02
  0.51298828E+01  0.14145017E+02
  0.51488423E+01  0.14112746E+02
  0.51678018E+01  0.14071771E+02
  0.51867613E+01  0.14021288E+02
  0.52057208E+01  0.13961020E+02
  0.52246803E+01  0.13891280E+02
  0.52436398E+01  0.13812987E+02
  0.52625993E+01  0.13727607E+02
  0.52815588E+01  0.13637042E+02
  0.53005183E+01  0.13543470E+02
  0.53194778E+01  0.13449165E+02
  0.53384373E+01  0.13356305E+02
  0.53573968E+01  0.13266811E+02
  0.53763563E+01  0.13182200E+02
  0.53953158E+01  0.13103483E+02
  0.54142753E+01  0.13031112E+02
  0.54332348E+01  0.12964968E+02
  0.54521943E+01  0.12904410E+02
  0.54711538E+01  0.12848374E+02
  0.54901133E+01  0.12795515E+02
  0.55090727E+01  0.12744391E+02
  0.55280322E+01  0.12693661E+02
  0.55469917E+01  0.12642274E+02
  0.55659512E+01  0.12589624E+02
  0.55849107E+01  0.12535633E+02
  0.56038702E+01  0.12480772E+02
  0.56228297E+01  0.12425980E+02
  0.56417892E+01  0.12372532E+02
  0.56607487E+01  0.12321854E+02
  0.56797082E+01  0.12275328E+02
  0.56986677E+01  0.12234116E+02
  0.57176272E+01  0.12199028E+02
  0.57365867E+01  0.12170444E+02
  0.57555462E+01  0.12148316E+02
  0.57745057E+01  0.12132216E+02
  0.57934652E+01  0.12121449E+02
  0.58124247E+01  0.12115198E+02
  0.58313842E+01  0.12112675E+02
  0.58503437E+01  0.12113261E+02
  0.58693807E+01  0.12118741E+02
  0.58884178E+01  0.12120774E+02
  0.59074549E+01  0.12119813E+02
  0.59264920E+01  0.12116678E+02
  0.59455290E+01  0.12112487E+02
  0.59645661E+01  0.12108582E+02
  0.59836032E+01  0.12106443E+02
  0.60026402E+01  0.12107606E+02
  0.60216773E+01  0.12113585E+02
  0.60407144E+01  0.12125791E+02
  0.60597515E+01  0.12145480E+02
  0.60787885E+01  0.12173692E+02
  0.60978256E+01  0.12211215E+02
  0.61168627E+01  0.12258558E+02
  0.61358997E+01  0.12315936E+02
  0.61549368E+01  0.12383269E+02
  0.61739739E+01  0.12460197E+02
  0.61930110E+01  0.12546104E+02
  0.62120480E+01  0.12640156E+02
  0.62310851E+01  0.12741352E+02
  0.62501222E+01  0.12848573E+02
  0.62691592E+01  0.12960647E+02
  0.62881963E+01  0.13076403E+02
  0.63072334E+01  0.13194725E+02
  0.63262705E+01  0.13314598E+02
  0.63453075E+01  0.13435139E+02
  0.63643446E+01  0.13555610E+02
  0.63833817E+01  0.13675421E+02
  0.64024187E+01  0.13794113E+02
  0.64214558E+01  0.13911330E+02
  0.64404929E+01  0.14026786E+02
  0.64595300E+01  0.14140228E+02
  0.64785670E+01  0.14251407E+02
  0.64976041E+01  0.14360054E+02
  0.65166412E+01  0.14465874E+02
  0.65356782E+01  0.14568540E+02
  0.65547153E+01  0.14667716E+02
  0.65737524E+01  0.14763066E+02
  0.65927895E+01  0.14854281E+02
  0.66118265E+01  0.14941089E+02
  0.66308636E+01  0.15023267E+02
  0.66499007E+01  0.15100639E+02
  0.66689377E+01  0.15173069E+02
  0.66879748E+01  0.15240448E+02
  0.67070119E+01  0.15302683E+02
  0.67260490E+01  0.15359687E+02
  0.67450860E+01  0.15411380E+02
  0.67641231E+01  0.15457690E+02
  0.67831602E+01  0.15498570E+02
  0.68021972E+01  0.15534006E+02
  0.68212343E+01  0.15564037E+02
  0.68402714E+01  0.15588765E+02
  0.68593085E+01  0.15608352E+02
