 written on  7Apr2026 at 10:55:14 
   2.4600000000000000        0.0000000000000000        0.0000000000000000     
  -1.2300000000000000        2.1304224933000002        0.0000000000000000     
   0.0000000000000000        0.0000000000000000        20.000000000000000     
           8
          83
    1    1    2    1    1    1    1    1    1    2    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1
    1    1    1    1    1    2    1    1

   -5   -3    0
    1    8   -0.37360524E-02 -0.94264874E-12
    2    8    0.18715970E-09 -0.14006324E-12
    3    8   -0.49532592E-02 -0.11297852E-10
    4    8    0.42755732E-03 -0.12455731E-10
    5    8   -0.49413928E-03 -0.42314208E-11
    6    8    0.30042099E-09 -0.13519971E-11
    7    8   -0.78611045E-03  0.11307427E-10
    8    8    0.45406059E-02  0.12563769E-11

   -5   -1    0
    1    1    0.28720063E-03  0.38084952E-11
    2    1    0.42416100E-11  0.45454125E-11
    3    1    0.16463050E-07  0.86988359E-13
    4    1   -0.10099539E-02 -0.10351942E-10
    5    1    0.75536124E-03  0.82451962E-11
    6    1   -0.56081702E-10  0.10054760E-11
    7    1   -0.58805269E-03  0.65318671E-11
    8    1   -0.18679431E-02  0.59744154E-11
    1    2    0.23090338E-10  0.89905140E-11
    2    2    0.14810968E-03  0.99871153E-12
    3    2    0.75796176E-11  0.17445351E-10
    4    2    0.31016690E-10 -0.21000719E-11
    5    2    0.17144585E-10  0.83628223E-11
    6    2    0.54215321E-04 -0.20600882E-11
    7    2    0.23320488E-10  0.11300918E-10
    8    2    0.27642813E-10 -0.81372613E-11
    1    3    0.13930617E-07  0.71263793E-11
    2    3   -0.22410775E-10  0.10864740E-10
    3    3    0.90836231E-03 -0.21072420E-10
    4    3    0.38382757E-07  0.85088493E-11
    5    3    0.58805287E-03 -0.32891851E-10
    6    3    0.31771922E-10 -0.10408687E-10
    7    3   -0.39935974E-03 -0.21833549E-10
    8    3   -0.86017863E-03 -0.92510791E-11
    1    4    0.15254834E-02  0.11496637E-11
    2    4   -0.21535338E-10 -0.19321110E-11
    3    4   -0.46414402E-07 -0.90644671E-11
    4    4   -0.27932637E-03  0.18608726E-12
    5    4    0.18679434E-02 -0.37318898E-11
    6    4   -0.88643824E-11  0.49256671E-11
    7    4   -0.86017854E-03 -0.12992606E-10
    8    4   -0.31387849E-02  0.66787825E-11
    1    5    0.32867942E-02  0.14586082E-10
    2    5   -0.72798778E-10  0.25640505E-11
    3    5   -0.77749484E-03  0.89208545E-12
    4    5   -0.51027964E-03  0.69265566E-11
    5    5    0.28720063E-03 -0.63052341E-11
    6    5   -0.58552350E-10 -0.23320086E-11
    7    5   -0.14188517E-07 -0.17849166E-10
    8    5   -0.15254833E-02 -0.24348648E-11
    1    6    0.45652441E-09  0.66475615E-11
    2    6    0.12437289E-03  0.19327734E-11
    3    6   -0.16184865E-09  0.28708256E-10
    4    6   -0.34867563E-10  0.72361654E-11
    5    6    0.12315384E-09  0.45587021E-11
    6    6    0.14810968E-03 -0.87477768E-12
    7    6    0.14018360E-10 -0.33668698E-11
    8    6   -0.20870992E-09 -0.14820880E-10
    1    7    0.77749498E-03  0.14861293E-10
    2    7   -0.33567128E-10  0.38522588E-12
    3    7    0.27491124E-02 -0.50978666E-12
    4    7   -0.27280815E-03  0.13161000E-12
    5    7   -0.16577769E-07 -0.68823640E-11
    6    7   -0.21098530E-10 -0.89593733E-11
    7    7    0.90836230E-03 -0.62730220E-11
    8    7   -0.46789828E-07  0.16735051E-11
    1    8    0.51027964E-03  0.10660722E-10
    2    8   -0.24291270E-11 -0.37574013E-11
    3    8   -0.27280810E-03 -0.26749714E-11
    4    8   -0.18183148E-03  0.25112787E-10
    5    8    0.10099539E-02  0.17634914E-10
    6    8    0.42631488E-10  0.38932403E-11
    7    8    0.38386220E-07 -0.14981358E-10
    8    8   -0.27932636E-03  0.21440297E-10

   -4   -5    0
    1    1   -0.34491006E-04  0.33917169E-11
    2    1   -0.24142528E-10 -0.25049891E-11
    3    1    0.12540899E-02  0.26294487E-11
    4    1   -0.10320108E-03  0.11181585E-10
    5    1   -0.92154272E-03 -0.62710948E-12
    6    1   -0.51695521E-10 -0.79631485E-11
    7    1    0.37324865E-02  0.32155251E-11
    8    1    0.18559812E-02 -0.33101785E-11
    1    2    0.42707410E-10 -0.57047183E-11
    2    2    0.14810926E-03  0.89314281E-12
    3    2   -0.35680758E-10 -0.10814577E-10
    4    2    0.27357901E-11 -0.12853276E-11
    5    2    0.11186724E-09 -0.19713304E-11
    6    2   -0.72112413E-03  0.12201897E-12
    7    2   -0.48074777E-10 -0.73765247E-11
    8    2    0.85679648E-10  0.21935629E-11
    1    3   -0.33574345E-03 -0.10940913E-10
    2    3    0.42766183E-10 -0.35501720E-11
    3    3    0.44584519E-03  0.82132597E-11
    4    3    0.65939739E-03 -0.48037069E-11
    5    3   -0.37324865E-02 -0.40260763E-11
    6    3   -0.32439291E-09  0.15911101E-10
    7    3   -0.44174252E-03 -0.39694081E-11
