  0.00000000E+00 -0.21911754E+02
  0.14746336E-01 -0.21911144E+02
  0.29492673E-01 -0.21909312E+02
  0.44239009E-01 -0.21906263E+02
  0.58985345E-01 -0.21902000E+02
  0.73731681E-01 -0.21896528E+02
  0.88478018E-01 -0.21889855E+02
  0.10322435E+00 -0.21881987E+02
  0.11797069E+00 -0.21872934E+02
  0.13271703E+00 -0.21862704E+02
  0.14746336E+00 -0.21851304E+02
  0.16220970E+00 -0.21838744E+02
  0.17695604E+00 -0.21825030E+02
  0.19170237E+00 -0.21810169E+02
  0.20644871E+00 -0.21794165E+02
  0.22119504E+00 -0.21777023E+02
  0.23594138E+00 -0.21758744E+02
  0.25068772E+00 -0.21739327E+02
  0.26543405E+00 -0.21718772E+02
  0.28018039E+00 -0.21697075E+02
  0.29492673E+00 -0.21674232E+02
  0.30967306E+00 -0.21650236E+02
  0.32441940E+00 -0.21625079E+02
  0.33916573E+00 -0.21598755E+02
  0.35391207E+00 -0.21571255E+02
  0.36865841E+00 -0.21542571E+02
  0.38340474E+00 -0.21512694E+02
  0.39815108E+00 -0.21481618E+02
  0.41289742E+00 -0.21449337E+02
  0.42764375E+00 -0.21415845E+02
  0.44239009E+00 -0.21381141E+02
  0.45713643E+00 -0.21345223E+02
  0.47188276E+00 -0.21308092E+02
  0.48662910E+00 -0.21269751E+02
  0.50137543E+00 -0.21230206E+02
  0.51612177E+00 -0.21189463E+02
  0.53086811E+00 -0.21147532E+02
  0.54561444E+00 -0.21104423E+02
  0.56036078E+00 -0.21060147E+02
  0.57510712E+00 -0.21014717E+02
  0.58985345E+00 -0.20968147E+02
  0.60459979E+00 -0.20920449E+02
  0.61934612E+00 -0.20871635E+02
  0.63409246E+00 -0.20821717E+02
  0.64883880E+00 -0.20770706E+02
  0.66358513E+00 -0.20718609E+02
  0.67833147E+00 -0.20665433E+02
  0.69307781E+00 -0.20611183E+02
  0.70782414E+00 -0.20555859E+02
  0.72257048E+00 -0.20499462E+02
  0.73731681E+00 -0.20441988E+02
  0.75206315E+00 -0.20383431E+02
  0.76680949E+00 -0.20323783E+02
  0.78155582E+00 -0.20263035E+02
  0.79630216E+00 -0.20201177E+02
  0.81104850E+00 -0.20138196E+02
  0.82579483E+00 -0.20074080E+02
  0.84054117E+00 -0.20008818E+02
  0.85528751E+00 -0.19942399E+02
  0.87003384E+00 -0.19874813E+02
  0.88478018E+00 -0.19806054E+02
  0.89952651E+00 -0.19736117E+02
  0.91427285E+00 -0.19665001E+02
  0.92901919E+00 -0.19592709E+02
  0.94376552E+00 -0.19519247E+02
  0.95851186E+00 -0.19444627E+02
  0.97325820E+00 -0.19368864E+02
  0.98800453E+00 -0.19291979E+02
  0.10027509E+01 -0.19213995E+02
